1-4-2023 00:00:00;0
1-4-2023 01:00:00;0
1-4-2023 02:00:00;0
1-4-2023 03:00:00;0
1-4-2023 04:00:00;0
1-4-2023 05:00:00;0
1-4-2023 06:00:00;0
1-4-2023 07:00:00;5
1-4-2023 08:00:00;25
1-4-2023 09:00:00;75
1-4-2023 10:00:00;240
1-4-2023 11:00:00;500
1-4-2023 12:00:00;900
1-4-2023 13:00:00;1500
1-4-2023 14:00:00;1380
1-4-2023 15:00:00;975
1-4-2023 16:00:00;620
1-4-2023 17:00:00;310
1-4-2023 18:00:00;120
1-4-2023 19:00:00;75
1-4-2023 20:00:00;12
1-4-2023 21:00:00;0
1-4-2023 22:00:00;0
1-4-2023 23:00:00;0
